The 'absorption cross section' of Ozone at the relevant wavelength has been updated,,,,,,,,,,,,,,,,
by the BIPM (the international bureau of weights and measures) and reflected within,,,,,,,,,,,,,,,,
the updated CEN reference method EN14625:2024. This results in an increase of ~1.24%,,,,,,,,,,,,,,,,
and will dramatically improve measurement uncertainty - this change has been applied,,,,,,,,,,,,,,,,
to all data from 1 January 2025.,,,,,,,,,,,,,,,,
Please refer to the UK-AIR data page ( https://uk-air.defra.gov.uk/data/ ) for further details:,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Daily Mean data	    supplied by UK-air on 31/12/2025",,,,,,,,,,,,,,,,
All Data GMT hour ending,,,,,,,,,,,,,,,,
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect,,,,,,,,,,,,,,,,
,Sheffield Barnsley Road,,,,Sheffield Devonshire Green,,,,,,Sheffield Tinsley,,,,,
Latitude,53.40495,,,,53.378622,,,,,,53.41058,,,,,
Longitude,-1.455815,,,,-1.478096,,,,,,-1.396139,,,,,
Site Type,Urban Traffic,,,,Urban Background,,,,,,Urban Background,,,,,
Zone,Yorkshire & Humberside,,,,Yorkshire & Humberside,,,,,,Yorkshire & Humberside,,,,,
Agglomeration,Sheffield Urban Area,,,,Sheffield Urban Area,,,,,,Sheffield Urban Area,,,,,
Local Authority,Sheffield,,,,Sheffield,,,,,,Sheffield,,,,,
Date,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status,Ozone,Status,Nitrogen dioxide,Status,PM2.5 particulate matter (Hourly measured),Status
01/01/2022,17,V ugm-3,11,V ugm-3 (BAM),53,V ugm-3,6,V ugm-3,10,V ugm-3 (Ref.eq),,,7,V ugm-3,,
02/01/2022,24,V ugm-3,7,V ugm-3 (BAM),66,V ugm-3,5,V ugm-3,5,V ugm-3 (Ref.eq),,,13,V ugm-3,,
03/01/2022,25,V ugm-3,8,V ugm-3 (BAM),64,V ugm-3,8,V ugm-3,7,V ugm-3 (Ref.eq),,,17,V ugm-3,,
04/01/2022,22,V ugm-3,4,V ugm-3 (BAM),57,V ugm-3,11,V ugm-3,4,V ugm-3 (Ref.eq),,,24,V ugm-3,,
05/01/2022,34,V ugm-3,5,V ugm-3 (BAM),47,V ugm-3,19,V ugm-3,6,V ugm-3 (Ref.eq),,,33,V ugm-3,,
06/01/2022,49,V ugm-3,7,V ugm-3 (BAM),34,V ugm-3,30,V ugm-3,7,V ugm-3 (Ref.eq),,,40,V ugm-3,,
07/01/2022,47,V ugm-3,6,V ugm-3 (BAM),59,V ugm-3,18,V ugm-3,4,V ugm-3 (Ref.eq),,,39,V ugm-3,,
08/01/2022,35,V ugm-3,6,V ugm-3 (BAM),57,V ugm-3,15,V ugm-3,6,V ugm-3 (Ref.eq),,,27,V ugm-3,,
09/01/2022,37,V ugm-3,7,V ugm-3 (BAM),59,V ugm-3,14,V ugm-3,8,V ugm-3 (Ref.eq),,,27,V ugm-3,,
10/01/2022,53,V ugm-3,12,V ugm-3 (BAM),28,V ugm-3,30,V ugm-3,No data,V ugm-3 (Ref.eq),,,39,V ugm-3,,
11/01/2022,68,V ugm-3,11,V ugm-3 (BAM),25,V ugm-3,38,V ugm-3,No data,V ugm-3 (Ref.eq),,,47,V ugm-3,,
12/01/2022,71,V ugm-3,12,V ugm-3 (BAM),28,V ugm-3,38,V ugm-3,No data,V ugm-3 (Ref.eq),,,57,V ugm-3,,
13/01/2022,78,V ugm-3,15,V ugm-3 (BAM),27,V ugm-3,38,V ugm-3,No data,V ugm-3 (Ref.eq),,,58,V ugm-3,,
14/01/2022,95,V ugm-3,25,V ugm-3 (BAM),9,V ugm-3,62,V ugm-3,22,V ugm-3 (Ref.eq),,,59,V ugm-3,,
15/01/2022,64,V ugm-3,30,V ugm-3 (BAM),2,V ugm-3,51,V ugm-3,31,V ugm-3 (Ref.eq),,,45,V ugm-3,,
16/01/2022,51,V ugm-3,13,V ugm-3 (BAM),40,V ugm-3,19,V ugm-3,13,V ugm-3 (Ref.eq),,,36,V ugm-3,,
17/01/2022,78,V ugm-3,16,V ugm-3 (BAM),28,V ugm-3,52,V ugm-3,12,V ugm-3 (Ref.eq),,,66,V ugm-3,,
18/01/2022,87,V ugm-3,24,V ugm-3 (BAM),17,V ugm-3,54,V ugm-3,17,V ugm-3 (Ref.eq),,,48,V ugm-3,,
19/01/2022,33,V ugm-3,8,V ugm-3 (BAM),56,V ugm-3,12,V ugm-3,7,V ugm-3 (Ref.eq),,,24,V ugm-3,,
20/01/2022,38,V ugm-3,5,V ugm-3 (BAM),57,V ugm-3,18,V ugm-3,7,V ugm-3 (Ref.eq),,,35,V ugm-3,,
21/01/2022,62,V ugm-3,7,V ugm-3 (BAM),49,V ugm-3,25,V ugm-3,5,V ugm-3 (Ref.eq),,,51,V ugm-3,,
22/01/2022,No data,V ugm-3,10,V ugm-3 (BAM),49,V ugm-3,27,V ugm-3,6,V ugm-3 (Ref.eq),,,37,V ugm-3,,
23/01/2022,No data,V ugm-3,10,V ugm-3 (BAM),55,V ugm-3,15,V ugm-3,9,V ugm-3 (Ref.eq),,,33,V ugm-3,,
24/01/2022,No data,V ugm-3,25,V ugm-3 (BAM),29,V ugm-3,26,V ugm-3,27,V ugm-3 (Ref.eq),,,29,V ugm-3,,
25/01/2022,No data,V ugm-3,25,V ugm-3 (BAM),21,V ugm-3,28,V ugm-3,28,V ugm-3 (Ref.eq),,,34,V ugm-3,,
26/01/2022,No data,V ugm-3,11,V ugm-3 (BAM),51,V ugm-3,15,V ugm-3,10,V ugm-3 (Ref.eq),,,33,V ugm-3,,
27/01/2022,27,V ugm-3,6,V ugm-3 (BAM),67,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq),,,22,V ugm-3,,
28/01/2022,44,V ugm-3,8,V ugm-3 (BAM),49,V ugm-3,18,V ugm-3,6,V ugm-3 (Ref.eq),,,33,V ugm-3,,
29/01/2022,17,V ugm-3,7,V ugm-3 (BAM),70,V ugm-3,7,V ugm-3,7,V ugm-3 (Ref.eq),,,11,V ugm-3,,
30/01/2022,28,V ugm-3,6,V ugm-3 (BAM),56,V ugm-3,17,V ugm-3,7,V ugm-3 (Ref.eq),,,23,V ugm-3,,
31/01/2022,24,V ugm-3,6,V ugm-3 (BAM),74,V ugm-3,8,V ugm-3,6,V ugm-3 (Ref.eq),,,17,V ugm-3,,
01/02/2022,16,V ugm-3,5,V ugm-3 (BAM),74,V ugm-3,7,V ugm-3,4,V ugm-3 (Ref.eq),,,14,V ugm-3,,
02/02/2022,36,V ugm-3,6,V ugm-3 (BAM),55,V ugm-3,14,V ugm-3,5,V ugm-3 (Ref.eq),,,28,V ugm-3,,
03/02/2022,34,V ugm-3,6,V ugm-3 (BAM),64,V ugm-3,12,V ugm-3,4,V ugm-3 (Ref.eq),,,28,V ugm-3,,
04/02/2022,31,V ugm-3,6,V ugm-3 (BAM),70,V ugm-3,10,V ugm-3,4,V ugm-3 (Ref.eq),,,25,V ugm-3,,
05/02/2022,20,V ugm-3,5,V ugm-3 (BAM),67,V ugm-3,7,V ugm-3,4,V ugm-3 (Ref.eq),,,14,V ugm-3,,
06/02/2022,10,V ugm-3,4,V ugm-3 (BAM),77,V ugm-3,4,V ugm-3,3,V ugm-3 (Ref.eq),,,8,V ugm-3,,
07/02/2022,44,V ugm-3,7,V ugm-3 (BAM),54,V ugm-3,16,V ugm-3,5,V ugm-3 (Ref.eq),,,34,V ugm-3,,
08/02/2022,26,V ugm-3,4,V ugm-3 (BAM),69,V ugm-3,7,V ugm-3,3,V ugm-3 (Ref.eq),,,21,V ugm-3,,
