time,weather_code (wmo code),daylight_duration (s),sunshine_duration (s),uv_index_max (),wind_direction_10m_dominant (°),wind_gusts_10m_max (km/h),wind_speed_10m_max (km/h),shortwave_radiation_sum (MJ/m²),pressure_msl_mean (hPa),cape_mean (J/kg),relative_humidity_2m_mean (%),wind_speed_10m_mean (km/h),wind_gusts_10m_mean (km/h),temperature_2m_mean (°C),precipitation_sum (mm)
01/01/2022,3,27382.41,20240.87,0.75,211,73.1,30.1,2.18,1011.2,0,80,26.1,58.6,12.2,0
02/01/2022,81,27459.25,21131.65,0.9,234,59.8,32.4,2.55,1004.5,2.9,81,24.9,50.9,9.5,10
03/01/2022,3,27542.61,20736.69,0.95,245,63.7,32.4,2.73,1001.8,2.5,76,25.8,51.4,8.3,0
04/01/2022,73,27633.4,21978.95,1,309,60.8,29.5,3.42,1001.2,2.1,76,16.9,37.6,3,2.7
05/01/2022,0,27731.51,22067.1,1,298,60.1,30.9,3.42,1012.1,0,71,16.6,34,3.1,0
06/01/2022,73,27836.67,7479.73,0.45,211,70.2,30.4,0.87,1011.2,0.8,84,18.2,40.5,2.5,3.1
07/01/2022,71,27948.6,22143.41,0.95,259,53.6,28.2,2.88,1005.6,2.9,84,20.9,45.3,2.5,1.2
08/01/2022,55,28067,10326.28,0.6,249,57.6,28.1,1.07,996.5,1.2,86,20.2,46,5.1,3.6
09/01/2022,51,28191.62,8561.45,0.55,269,50.8,26.9,0.97,999.4,2.5,85,16.4,39,4.9,0.1
10/01/2022,3,28322.15,0,0.25,204,45.4,14,0.32,1015.6,0,91,9.4,25.1,6.3,0
11/01/2022,51,28458.34,18099.65,0.9,270,33.1,11.6,1.82,1029.1,0,84,6.5,19.9,7.1,0.8
12/01/2022,3,28599.88,23278.42,1.1,264,42.5,9.7,3.61,1038.8,0,89,7.8,37,5.5,0
13/01/2022,0,28746.53,23421.16,1.15,253,42.1,11.5,3.82,1038.8,0,87,7.5,26.4,5,0
14/01/2022,3,28898,23549.29,1.15,245,16.6,6.9,3.93,1035.1,0,80,3.9,5.4,4.2,0
15/01/2022,3,29054.03,20155.05,1.1,229,28.8,14.3,3.12,1024.5,0,77,7.9,13.6,4.5,0
16/01/2022,3,29214.36,22801.22,0.9,271,45.7,18.5,2.43,1025.4,0.4,84,10.2,28.6,5.6,0
17/01/2022,1,29378.74,23995.98,1.25,265,37.4,12.1,4.29,1036.2,0,80,7.5,14.1,5.2,0
18/01/2022,3,29546.9,24138.05,1.25,226,36.4,14.7,4.24,1034.1,0,70,10,18.9,5.5,0
19/01/2022,51,29718.62,20521.38,1.25,285,58.7,25,4.02,1025.5,0,82,18.4,43.8,6,0.3
20/01/2022,3,29893.63,24420.41,1.3,321,36.4,16,4.46,1036.8,0,71,9.2,22.9,2.8,0
21/01/2022,1,30071.71,24625.09,1.3,289,50.8,20,4.24,1037.2,0,84,13,36.3,3.7,0
22/01/2022,3,30252.63,24843.56,1.3,284,48.2,13.9,4.59,1035.7,0,87,8.7,37.7,4.5,0
23/01/2022,3,30436.53,24647.75,1.3,231,14.4,13,3.98,1033.5,0,88,7.5,8.7,3.7,0
24/01/2022,3,30625.35,25323.03,1.4,228,6.1,6.6,4.87,1033,0,88,3.9,4,3.1,0
25/01/2022,3,30819.12,25584.92,1.4,258,41.8,11.9,5.03,1033,0,88,5.5,13.2,2,0
26/01/2022,3,31017.48,25676.99,1.4,257,69.8,28.2,4.9,1028.6,0,85,18.1,48.2,5.6,0
27/01/2022,51,31220.11,25936.66,1.5,286,70.2,28.9,4.67,1025.6,2.5,81,22,50.1,8.1,0.2
28/01/2022,3,31426.67,20658.39,1,252,63.4,26.7,2.46,1030.3,0,86,16.6,42.3,7,0
29/01/2022,3,31636.86,21115.45,1.55,279,95.4,47.1,3.99,1023.8,1.2,75,29.2,68.9,8.9,0
30/01/2022,53,31850.35,26753.49,1.6,258,75.2,35.8,5.14,1027,1.7,76,16.5,34.4,5.1,1.5
31/01/2022,51,32066.86,26966.96,1.65,305,85.7,39.2,5.82,1021.4,5,72,27.4,62.1,5.5,0.3
01/02/2022,3,32286.08,21377.23,1.5,289,79.2,34.4,3.14,1017.9,1.2,82,30.1,69.5,9.4,0
02/02/2022,51,32507.73,4886.86,0.9,273,58.7,26.7,1.35,1019.1,0,88,18,43,9.2,0.1
03/02/2022,3,32731.55,26843.34,1.75,235,61.2,30.3,5.53,1009.6,0,81,18.9,40.5,8.7,0
04/02/2022,51,32957.24,27934.77,1.7,279,60.1,31.3,6.13,1007.9,17.1,76,21.9,44.9,5.3,1.4
05/02/2022,63,33184.57,11484.06,1.2,245,79.2,37.7,1.85,1010.7,1.7,82,29.6,61.2,6.4,13.5
06/02/2022,85,33413.28,25561.09,1.55,280,83.5,39.4,4.93,1002.4,22.1,80,31.4,67.6,6.4,15.7
